platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,zstd,compression-bench-zstd-1-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,1,65536,59644,1.098786,215,290.697674,3d44fc31249b7fea,db84fd11a339c963,3,3d44fc31249b7fea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,2,65536,59644,1.098786,208,300.480769,3d44fc31249b7fea,db84fd11a339c963,3,3d44fc31249b7fea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,3,65536,59644,1.098786,215,290.697674,3d44fc31249b7fea,db84fd11a339c963,3,3d44fc31249b7fea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,4,65536,59644,1.098786,218,286.697248,3d44fc31249b7fea,db84fd11a339c963,3,3d44fc31249b7fea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,0,262144,238519,1.099049,803,311.332503,847d87b26df4af9b,c58041d0d1336ae9,28,847d87b26df4af9b,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,1,262144,238519,1.099049,984,254.065041,847d87b26df4af9b,c58041d0d1336ae9,31,847d87b26df4af9b,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,2,262144,238519,1.099049,828,301.932367,847d87b26df4af9b,c58041d0d1336ae9,24,847d87b26df4af9b,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,3,262144,238519,1.099049,798,313.283208,847d87b26df4af9b,c58041d0d1336ae9,26,847d87b26df4af9b,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,4,262144,238519,1.099049,784,318.877551,847d87b26df4af9b,c58041d0d1336ae9,26,847d87b26df4af9b,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,0,1048576,947081,1.107166,2513,397.930760,31bf0a2c90ad6cea,fa72a24d52ebed1a,201,31bf0a2c90ad6cea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,1,1048576,947081,1.107166,2499,400.160064,31bf0a2c90ad6cea,fa72a24d52ebed1a,135,31bf0a2c90ad6cea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,2,1048576,947081,1.107166,2546,392.772977,31bf0a2c90ad6cea,fa72a24d52ebed1a,195,31bf0a2c90ad6cea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,3,1048576,947081,1.107166,2659,376.081234,31bf0a2c90ad6cea,fa72a24d52ebed1a,124,31bf0a2c90ad6cea,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,4,1048576,947081,1.107166,2479,403.388463,31bf0a2c90ad6cea,fa72a24d52ebed1a,182,31bf0a2c90ad6cea,true,true,passed
macOS,zstd,compression-bench-zstd-3-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,3,pso_like,0,65536,3150,20.805079,144,434.027778,7545158f165814bb,82b3f7d7430b7457,13,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-3-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,3,pso_like,1,65536,3150,20.805079,130,480.769231,7545158f165814bb,82b3f7d7430b7457,14,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-3-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,3,pso_like,2,65536,3150,20.805079,134,466.417910,7545158f165814bb,82b3f7d7430b7457,11,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-3-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,3,pso_like,3,65536,3150,20.805079,127,492.125984,7545158f165814bb,82b3f7d7430b7457,13,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-3-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,3,pso_like,4,65536,3150,20.805079,140,446.428571,7545158f165814bb,82b3f7d7430b7457,11,7545158f165814bb,true,true,passed
