Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
FSceneRenderer::FinishInitDynamicShadows,1997,57.738238,0.756472,2.278429,2.278612,0.000183,36.864857,36.865560,0.000703,0.000087,0.001655,0.000379,0.000163,
STAT_GenerateDynamicMeshDrawCommands,7245,284.848602,0.749462,11.431072,11.431073,0.000001,36.865615,36.865636,0.000021,0.000000,0.003763,0.000103,0.000100,
FSceneRenderer::FinishGatherShadowPrimitives,1997,57.738245,0.748263,2.278431,2.278612,0.000181,36.864859,36.865558,0.000699,0.000086,0.001652,0.000375,0.000162,
STAT_RenderThreadFinalize,1997,57.738253,0.746522,2.278436,2.278612,0.000176,36.864860,36.865558,0.000698,0.000086,0.001652,0.000374,0.000162,
STAT_FEngineLoop_Tick_SlateInput,1991,58.338305,0.745733,2.771392,2.781621,0.010229,36.899718,36.899912,0.000194,0.000089,0.018804,0.000375,0.000488,
FirstPerson_AnimBP_C,3984,117.766627,0.728119,3.071387,3.071648,0.000261,36.900877,36.901005,0.000128,0.000038,0.001394,0.000183,0.000091,
ExecuteBackgroundTask,5159,141.368663,0.696264,0.409816,0.409824,0.000008,36.903027,36.903052,0.000025,0.000000,0.039931,0.000135,0.000754,
STAT_FEngineLoop_Tick_PollGameDeviceState,1991,58.338361,0.686423,2.771397,2.781592,0.010195,36.899720,36.899884,0.000164,0.000072,0.018748,0.000345,0.000486,
Scene::UpdateAllPrimitiveSceneInfos,1998,57.554489,0.678424,2.147416,2.147768,0.000352,36.860737,36.862345,0.001608,0.000127,0.007403,0.000340,0.000260,
FScene_UpdateAllPrimitiveSceneInfos,1998,57.554491,0.677136,2.147417,2.147768,0.000351,36.860738,36.862345,0.001607,0.000126,0.007403,0.000339,0.000260,
UpdatePrimitive,1998,57.554492,0.673820,2.147418,2.147767,0.000349,36.860740,36.862345,0.001605,0.000126,0.007402,0.000337,0.000260,
Evolution/Kinematic update and forces,1991,58.719030,0.663802,2.995644,2.996980,0.001336,36.902573,36.902880,0.000307,0.000035,0.001941,0.000333,0.000163,
ParallelFor Task,4060,115.030106,0.652384,1.613668,1.614335,0.000667,36.908618,36.908776,0.000158,0.000000,0.048280,0.000161,0.001687,
FPBDRigidsEvolutionGBF::AdvanceOneTimeStep,1990,58.689609,0.609360,2.995683,2.996977,0.001294,36.902596,36.902878,0.000282,0.000097,0.001929,0.000306,0.000155,
STAT_FRHICommandUpdateBuffer_Execute,27909,803.182663,0.608596,2.167090,2.167102,0.000012,36.915094,36.915101,0.000007,0.000001,0.002138,0.000022,0.000041,
SK_FPGun,3982,114.925232,0.601473,2.260101,2.260198,0.000097,36.908631,36.908715,0.000084,0.000026,0.001360,0.000151,0.000109,
Shader link time,43,2.875843,0.593317,2.233063,2.240565,0.007502,17.145217,17.185202,0.039985,0.000144,0.066829,0.013798,0.017214,
Mine PSO: glLinkProgram,43,2.875856,0.590056,2.233070,2.240524,0.007454,17.145237,17.185139,0.039902,0.000125,0.066751,0.013722,0.017225,
FinishRenderViewTarget,1991,57.560206,0.585353,2.282415,2.283156,0.000741,36.870052,36.872284,0.002232,0.000091,0.002232,0.000294,0.000130,
STAT_PostProcessing_Process,1991,57.560233,0.561796,2.282428,2.283155,0.000727,36.870112,36.872281,0.002169,0.000087,0.002169,0.000282,0.000121,
Stat_DrawDebugCanvas,1989,58.658698,0.550358,2.990121,2.990263,0.000142,36.897707,36.898136,0.000429,0.000104,0.000953,0.000277,0.000097,
BP_FirstPersonPlayerController_C,1992,57.369680,0.538243,2.178447,2.178456,0.000009,36.900380,36.900621,0.000241,0.000009,0.002805,0.000270,0.000128,
PlayerController Tick,1990,58.335133,0.530834,2.787388,2.790191,0.002803,36.900382,36.900621,0.000239,0.000106,0.002803,0.000267,0.000127,
PC Tick Actor,1990,58.335137,0.526640,2.787389,2.790191,0.002802,36.900383,36.900620,0.000237,0.000105,0.002802,0.000265,0.000126,
FlushRenderingCommands,14,12.077263,0.524879,1.622294,1.622328,0.000034,2.771610,2.781497,0.009887,0.000034,0.475420,0.037491,0.126152,
Post Anim Evaluation,3983,114.762226,0.514278,2.197244,2.197265,0.000021,36.903655,36.903786,0.000131,0.000021,0.001297,0.000129,0.000071,
RefreshBoneTransforms,3983,114.771174,0.511553,2.197226,2.197266,0.000040,36.901009,36.901062,0.000053,0.000009,0.001433,0.000128,0.000103,
Shader compile time,65,4.357453,0.501643,2.228213,2.231653,0.003440,17.132870,17.145185,0.012315,0.000491,0.085490,0.007718,0.013079,
Mine PSO: glCompileShader,65,4.357465,0.498859,2.228243,2.231634,0.003391,17.132968,17.145172,0.012204,0.000470,0.085457,0.007675,0.013070,
