Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PlayerController Tick,840,57.984492,0.224023,1.669624,1.674896,0.005272,16.155534,16.156256,0.000722,0.000079,0.005272,0.000267,0.000201,
PC Tick Actor,840,57.984508,0.222526,1.669628,1.674895,0.005267,16.155535,16.156256,0.000721,0.000079,0.005267,0.000265,0.000201,
Post Anim Evaluation,1683,114.084980,0.217667,1.406807,1.406835,0.000028,16.158855,16.158968,0.000113,0.000028,0.002106,0.000129,0.000086,
RefreshBoneTransforms,1683,114.100689,0.215399,1.406786,1.406836,0.000050,16.156674,16.156916,0.000242,0.000007,0.002151,0.000128,0.000117,
SkeletalComponentAnimEvaluate_WorkerThread,840,58.045372,0.214715,1.675297,1.675361,0.000064,16.146512,16.146735,0.000223,0.000055,0.001198,0.000256,0.000139,
SetupMeshPass,846,58.778291,0.210448,1.669825,1.669876,0.000051,16.062825,16.062894,0.000069,0.000041,0.001667,0.000249,0.000164,
Render Audio,699,47.298626,0.209128,1.339652,1.340059,0.000407,16.117756,16.118094,0.000338,0.000008,0.002490,0.000299,0.000187,
Collect Resources,1688,114.434681,0.207519,1.384025,1.384035,0.000010,16.134735,16.134798,0.000063,0.000010,0.001717,0.000123,0.000110,
Module Load,186,162.000162,0.206220,0.350778,0.350815,0.000037,1.498661,1.498925,0.000264,0.000003,0.053647,0.001109,0.006061,
FRDGBuilder::CollectResources,1688,114.434704,0.205880,1.384027,1.384035,0.000008,16.134736,16.134797,0.000061,0.000008,0.001717,0.000122,0.000110,
UWorld_SendAllEndOfFrameUpdates,843,57.402189,0.204107,1.476645,1.477181,0.000536,16.161825,16.162496,0.000671,0.000061,0.001197,0.000242,0.000091,
FSceneRenderer::BeginInitDynamicShadows,846,57.890202,0.203326,1.506682,1.506982,0.000300,16.120025,16.120554,0.000529,0.000045,0.003673,0.000240,0.000174,
Post Tick Component Update,843,57.402197,0.202959,1.476646,1.477181,0.000535,16.161825,16.162495,0.000670,0.000061,0.001195,0.000241,0.000091,
PlayerTick,840,57.984816,0.199043,1.669652,1.674795,0.005143,16.155543,16.156203,0.000660,0.000072,0.005143,0.000237,0.000193,
ProxyUpdateAnimation_WorkerThread,840,58.046010,0.196455,1.675214,1.675290,0.000076,16.146320,16.146493,0.000173,0.000066,0.002182,0.000234,0.000143,
GatherShadowPrimitives,846,57.890321,0.194317,1.506712,1.506982,0.000270,16.120061,16.120554,0.000493,0.000042,0.003662,0.000230,0.000173,
FTextLocalizationManager::WaitForAsyncTasks,8,12.129390,0.190384,0.547982,0.547982,0.000000,1.207528,1.207537,0.000009,0.000000,0.095180,0.023798,0.044058,
SceneQueryTotal,2561,173.648828,0.182146,1.409975,1.410037,0.000062,16.158012,16.158131,0.000119,0.000001,0.000860,0.000071,0.000044,
EvaluateAnimInstance_WorkerThread,840,58.045444,0.180963,1.675307,1.675358,0.000051,16.146542,16.146727,0.000185,0.000045,0.001055,0.000215,0.000123,
ParallelMdcDispatchDraw,4230,289.830366,0.180943,1.536400,1.536553,0.000153,16.131143,16.131144,0.000001,0.000000,0.001351,0.000043,0.000047,
ParallelMdcDispatchPassSetup,10998,761.013838,0.179752,1.669833,1.669834,0.000001,16.121574,16.121607,0.000033,0.000000,0.001132,0.000016,0.000035,
SceneStart,2538,173.732983,0.179682,1.523296,1.523297,0.000001,16.131619,16.131921,0.000302,0.000000,0.000708,0.000071,0.000085,
EvaluateAnimGraph_WorkerThread,840,58.045452,0.178320,1.675308,1.675358,0.000050,16.146544,16.146726,0.000182,0.000044,0.001051,0.000212,0.000122,
After Occlusion Readback,1800,123.283542,0.176734,1.523620,1.523620,0.000000,16.123904,16.124109,0.000205,0.000000,0.000624,0.000098,0.000110,
STAT_MeshPassDrawImmediate,3369,230.838740,0.176133,1.536410,1.536552,0.000142,16.130996,16.131014,0.000018,0.000002,0.001350,0.000052,0.000046,
PC Tick Input,840,57.985149,0.173063,1.669709,1.674752,0.005043,16.155545,16.156177,0.000632,0.000062,0.005043,0.000206,0.000186,
FinalizeAnimationUpdate,1683,114.084996,0.168043,1.406809,1.406835,0.000026,16.158906,16.158968,0.000062,0.000013,0.002102,0.000100,0.000093,
BlendPosesInGraph_WorkerThread,840,58.045520,0.162183,1.675309,1.675356,0.000047,16.146547,16.146710,0.000163,0.000040,0.000957,0.000193,0.000112,
OcclusionCull,840,57.496405,0.160604,1.505630,1.505774,0.000144,16.115041,16.115239,0.000198,0.000048,0.001953,0.000191,0.000146,
BlueprintUpdateAnimation,2522,174.153988,0.159318,1.675228,1.675233,0.000005,16.156578,16.156665,0.000087,0.000001,0.000566,0.000063,0.000054,
CharMoveComp,841,57.036539,0.156550,1.413248,1.413272,0.000024,16.157269,16.158182,0.000913,0.000024,0.001697,0.000186,0.000102,
UCharacterMovementComponent_TickComponent,840,58.000511,0.154233,1.675551,1.675723,0.000172,16.157270,16.158182,0.000912,0.000057,0.001695,0.000184,0.000102,
Source Manager Update,699,47.298984,0.154202,1.339713,1.339742,0.000029,16.117773,16.118043,0.000270,0.000003,0.002314,0.000221,0.000165,
Char Movement Total,840,58.000523,0.153359,1.675553,1.675723,0.000170,16.157271,16.158181,0.000910,0.000055,0.001693,0.000183,0.000102,
UpdateOverlaps Time,1727,114.662750,0.152861,1.094884,1.094884,0.000000,16.156359,16.156445,0.000086,0.000000,0.002045,0.000089,0.000081,
FXPreRender_Finalize,840,57.910311,0.152527,1.627066,1.627318,0.000252,16.132066,16.132255,0.000189,0.000048,0.000675,0.000182,0.000077,
FAudioDevic_Update,841,58.348485,0.152152,1.752150,1.752236,0.000086,16.164602,16.165549,0.000947,0.000056,0.001075,0.000181,0.000086,
Char Tick,840,58.000531,0.151417,1.675555,1.675722,0.000167,16.157273,16.158181,0.000908,0.000055,0.001692,0.000180,0.000102,
FAudioThreadTask.AudioUpdateTime,841,58.348489,0.150714,1.752151,1.752235,0.000084,16.164604,16.165549,0.000945,0.000056,0.001074,0.000179,0.000086,
USkeletalMeshComponent_TickAnimation,843,57.152961,0.147210,1.406780,1.406784,0.000004,16.156515,16.156672,0.000157,0.000003,0.001325,0.000175,0.000080,
FlushAsyncLoading,54,116.998850,0.145703,1.033203,1.035291,0.002088,1.480799,1.494746,0.013947,0.000000,0.026746,0.002698,0.004888,
Flush Async Loading GT,50,108.332503,0.145552,1.033203,1.035291,0.002088,1.480800,1.494745,0.013945,0.000265,0.026742,0.002911,0.005016,
Anim Tick Time,843,57.152976,0.145059,1.406783,1.406784,0.000001,16.156516,16.156671,0.000155,0.000001,0.001323,0.000172,0.000079,
STAT_FDynamicRHI_LockBuffer,12708,865.098072,0.143598,1.445326,1.445330,0.000004,16.134988,16.134990,0.000002,0.000000,0.001889,0.000011,0.000049,
StaticLoadObjectInternal,84,181.987958,0.142838,1.033196,1.035302,0.002106,1.480769,1.494765,0.013996,0.000002,0.026955,0.001700,0.003948,
STAT_UGameEngine_Tick_IStreamingManager,841,57.976689,0.141255,1.658440,1.659624,0.001184,16.163808,16.164270,0.000462,0.000055,0.001184,0.000168,0.000067,
AppInit,1,7.219800,0.138508,0.380896,0.519404,0.138508,0.380896,0.519404,0.138508,0.138508,0.138508,0.138508,0.000000,
LoadModule.excl,186,162.000303,0.138284,0.350779,0.350815,0.000036,1.498662,1.498925,0.000263,0.000003,0.053648,0.000743,0.004926,
LoadModule.excl.all,186,162.000303,0.138284,0.350779,0.350815,0.000036,1.498662,1.498925,0.000263,0.000003,0.053648,0.000743,0.004926,
FStreamingManagerCollection::UpdateResourceStreaming,841,57.976705,0.137960,1.658444,1.659624,0.001180,16.163814,16.164270,0.000456,0.000054,0.001180,0.000164,0.000067,
Char NonSimulated Time,840,58.000627,0.137936,1.675565,1.675714,0.000149,16.157282,16.158167,0.000885,0.000050,0.001670,0.000164,0.000097,
UpdateAnimation,841,57.044125,0.135887,1.413697,1.413957,0.000260,16.156525,16.156670,0.000145,0.000058,0.001314,0.000162,0.000075,
DeferredRenderUpdates,1761,119.912609,0.134518,1.476786,1.476800,0.000014,16.162420,16.162481,0.000061,0.000001,0.001086,0.000076,0.000047,
AudioMixerThreadCommands::PumpCommandQueue,699,47.299074,0.134181,1.339715,1.339719,0.000004,16.117776,16.118017,0.000241,0.000001,0.002262,0.000192,0.000158,
TG_StartPhysics,841,57.966036,0.130394,1.650336,1.650341,0.000005,16.158480,16.158832,0.000352,0.000005,0.000851,0.000155,0.000089,
Char PerformMovement,840,58.000671,0.129748,1.675574,1.675713,0.000139,16.157289,16.158165,0.000876,0.000047,0.001659,0.000154,0.000095,
DrawStatsHUD,842,57.405168,0.128609,1.496054,1.498331,0.002277,16.163462,16.163723,0.000261,0.000051,0.002277,0.000153,0.000092,
