Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PC Tick Input,1633,58.612252,0.357115,2.275009,2.279002,0.003993,30.135947,30.136078,0.000131,0.000061,0.003993,0.000219,0.000159,
SetupShadowMeshPass,1640,58.295271,0.352514,1.997187,1.997216,0.000029,30.129790,30.129829,0.000039,0.000007,0.002302,0.000215,0.000188,
STAT_PostProcessing_Process,1634,58.086439,0.346276,1.999854,2.000806,0.000952,30.130211,30.130344,0.000133,0.000061,0.001791,0.000212,0.000098,
FirstPerson_AnimBP_C,3270,117.384817,0.341105,2.279189,2.279252,0.000063,30.136218,30.136284,0.000066,0.000022,0.002136,0.000104,0.000085,
STAT_RHIMETHOD_LockBuffer_Malloc,22954,813.033011,0.338845,1.903776,1.903776,0.000000,30.136332,30.136332,0.000000,0.000000,0.003586,0.000015,0.000076,
Constant buffer update time,312356,11107.500546,0.336192,2.016644,2.016645,0.000001,30.137822,30.137822,0.000000,0.000000,0.002859,0.000001,0.000010,
Source Manager Update,1148,40.579661,0.324101,1.829386,1.829406,0.000020,30.119347,30.119420,0.000073,0.000002,0.005722,0.000282,0.000399,
Shader link time,42,4.913642,0.322967,2.011869,2.016635,0.004766,10.533415,10.559500,0.026085,0.001112,0.030620,0.007690,0.007320,
Mine PSO: glLinkProgram,42,4.915802,0.318015,2.015554,2.016613,0.001059,10.533424,10.559430,0.026006,0.001059,0.030576,0.007572,0.007367,
FSceneRenderer::BeginInitDynamicShadows,1640,58.295120,0.317006,1.996978,1.997065,0.000087,30.129596,30.129693,0.000097,0.000019,0.002435,0.000193,0.000151,
SetupMeshPass,1640,58.459898,0.316831,1.996854,1.996886,0.000032,30.050230,30.050273,0.000043,0.000014,0.002630,0.000193,0.000200,
Stat_DrawDebugCanvas,1633,58.788814,0.304022,2.358960,2.359055,0.000095,30.136206,30.136353,0.000147,0.000061,0.001938,0.000186,0.000086,
FXPreRender_Finalize,1634,58.224418,0.302368,2.071991,2.149266,0.077275,30.135736,30.135818,0.000082,0.000034,0.077275,0.000185,0.001910,
Paint: Game UI,1634,58.629136,0.298002,2.273129,2.273320,0.000191,30.143097,30.143231,0.000134,0.000055,0.004293,0.000182,0.000130,
FCreateViewWithUninitializedBounds,6535,234.473798,0.292768,2.269692,2.269696,0.000004,30.139472,30.140610,0.001138,0.000000,0.001511,0.000045,0.000092,
GatherShadowPrimitives,1640,58.295162,0.291328,1.996998,1.997065,0.000067,30.129601,30.129693,0.000092,0.000018,0.002428,0.000178,0.000141,
SK_FPGun,3268,117.775544,0.288623,2.390751,2.390774,0.000023,30.138413,30.138447,0.000034,0.000009,0.001327,0.000088,0.000082,
AudioMixerThreadCommands::PumpCommandQueue,1148,40.579674,0.281262,1.829388,1.829391,0.000003,30.119349,30.119413,0.000064,0.000000,0.005711,0.000245,0.000386,
STAT_SetupMeshDrawCommandsForShadowDepth,6560,233.181218,0.280920,1.997202,1.997204,0.000002,30.129823,30.129828,0.000005,0.000000,0.001525,0.000043,0.000088,
FlushRenderingCommands,14,0.846551,0.276596,1.510948,1.510973,0.000025,18.048096,18.048642,0.000546,0.000025,0.237983,0.019757,0.062929,
STAT_UGameEngine_Tick_IStreamingManager,1634,58.626578,0.275444,2.269307,2.269823,0.000516,30.138995,30.140625,0.001630,0.000021,0.001630,0.000169,0.000070,
FStreamingManagerCollection::UpdateResourceStreaming,1634,58.626586,0.270733,2.269309,2.269823,0.000514,30.138997,30.140623,0.001626,0.000021,0.001626,0.000166,0.000070,
[Scene] - StartFrame,3266,117.237860,0.267601,2.279508,2.279520,0.000012,30.137352,30.137403,0.000051,0.000005,0.001723,0.000082,0.000124,
STAT_FAndroidMisc_UpdateDeviceOrientation,1636,57.226018,0.258146,1.547329,1.547968,0.000639,30.134974,30.135724,0.000750,0.000036,0.028455,0.000158,0.000734,
After Occlusion Readback,4021,142.952096,0.255185,2.006524,2.006524,0.000000,30.134487,30.134828,0.000341,0.000000,0.003571,0.000063,0.000100,
FinishDynamicMeshElements,1640,58.295141,0.252920,1.996814,1.996835,0.000021,30.129494,30.129519,0.000025,0.000002,0.002154,0.000154,0.000219,
Post Anim Evaluation,3269,115.914558,0.246615,1.935492,1.935506,0.000014,30.137256,30.137299,0.000043,0.000010,0.001266,0.000075,0.000062,
FStartPhysicsTickFunction_ExecuteTick,1633,58.618924,0.245207,2.279506,2.279675,0.000169,30.137351,30.137404,0.000053,0.000013,0.001724,0.000150,0.000147,
FEngineLoop::PreInitPostStartupScreen,1,4.105444,0.243579,1.546779,1.790358,0.243579,1.546779,1.790358,0.243579,0.243579,0.243579,0.243579,0.000000,
FEngineLoop::PreInitPostStartupScreen.AfterStats,1,4.105478,0.243577,1.546781,1.790358,0.243577,1.546781,1.790358,0.243577,0.243577,0.243577,0.243577,0.000000,
Renderable Asset Streaming Game Thread Update Time,1634,58.626618,0.240251,2.269312,2.269816,0.000504,30.139001,30.140611,0.001610,0.000017,0.001610,0.000147,0.000067,
Shader compile time,64,7.508788,0.234514,2.010041,2.011850,0.001809,10.513449,10.533387,0.019938,0.000400,0.019938,0.003664,0.003745,
Mine PSO: glCompileShader,64,7.508810,0.232415,2.010053,2.011844,0.001791,10.513577,10.533374,0.019797,0.000396,0.019797,0.003631,0.003720,
SceneQueryTotal,4976,176.464514,0.219203,1.938100,1.938188,0.000088,30.136363,30.136404,0.000041,0.000001,0.001213,0.000044,0.000049,
LaunchVisibilityTasks,1640,58.295157,0.213953,1.996284,1.996339,0.000055,30.128932,30.128981,0.000049,0.000008,0.002450,0.000130,0.000122,
SkeletalComponentAnimEvaluate_WorkerThread,1633,58.799570,0.207037,2.279265,2.279332,0.000067,30.051300,30.051577,0.000277,0.000041,0.006365,0.000127,0.000194,
FChaosAccelerationStructureTask,1637,58.944780,0.204396,2.280487,2.280560,0.000073,30.051764,30.052242,0.000478,0.000000,0.002981,0.000125,0.000166,
All Command List Execute,12312,430.516230,0.204212,1.538210,1.538322,0.000112,30.136432,30.136435,0.000003,0.000000,0.001439,0.000017,0.000032,
Collect Resources,3276,116.036495,0.194556,1.903787,1.903795,0.000008,30.136269,30.136284,0.000015,0.000006,0.001070,0.000059,0.000051,
BlueprintUpdateAnimation,4901,175.933699,0.193622,2.279197,2.279200,0.000003,30.136242,30.136282,0.000040,0.000000,0.000961,0.000040,0.000044,
FRDGBuilder::CollectResources,3276,116.036495,0.193004,1.903787,1.903795,0.000008,30.136269,30.136284,0.000015,0.000006,0.001068,0.000059,0.000051,
ParallelMdcDispatchDraw,8200,291.541251,0.188762,2.009301,2.009302,0.000001,30.135681,30.135681,0.000000,0.000000,0.001910,0.000023,0.000034,
Initial UObject load,1,5.323963,0.187830,1.557476,1.745306,0.187830,1.557476,1.745306,0.187830,0.187830,0.187830,0.187830,0.000000,
MyUMG_C /Engine/Transient.GameEngine_2147482621:GameInstance_2147482577.MyUMG_C_2147482480_Paint,1634,58.629306,0.187460,2.273192,2.273304,0.000112,30.143135,30.143213,0.000078,0.000033,0.004226,0.000115,0.000118,
FinalizeAnimationUpdate,3269,115.914562,0.185529,1.935493,1.935506,0.000013,30.137281,30.137299,0.000018,0.000007,0.001263,0.000057,0.000064,
